component,mean,std,rmse,p50,p90,p95,p99,rmse_2d,p95_2d,rmse_ci95_lower,rmse_ci95_upper
balise,0.10333077766476773,0.059406644317806095,0.11918319691640022,0.1021234260235803,0.1825835506492163,0.20517596233614577,0.2406445616566438,,,,
map,0.007292747760090136,0.02359509696809057,0.024690775737619703,0.0051662720336606615,0.038769323964764235,0.04970038937781629,0.07005439011436661,,,,
odometry,0.030745442387903263,0.7671977160312871,0.7676218610380435,0.02607040771126365,1.0133860604800775,1.3168155176299985,1.8646358018947349,,,,
imu,-0.0019318409810636509,0.24243861418975277,0.24238569557422066,0.0028196229922246826,0.3079796242196318,0.393432148916938,0.5495630969402628,,,,
gnss_open,0.00440586657242908,0.3856036502264966,0.38553241321673376,0.012287136820474324,0.49822664295573504,0.6340142189414781,0.8753569461897848,,,,
secure,0.14136896781276112,0.7718069153296763,0.7844573007206194,0.13856173047935663,1.1244391187211284,1.435950158551828,1.9695082269349926,,,,
unsafe,-0.004692671758698655,0.45743738022571223,0.4573470821133374,-0.01270109060942385,0.5744401212715631,0.7589768555217647,1.0879169290934683,,,,
fused,0.0332771650562231,0.39045493276474663,0.3917731444436202,0.03303375014841332,0.5270565907878652,0.6880757414939132,0.9327002466048089,0.4368655313008143,0.8332274155974513,0.38088448814382964,0.4029359728730612
gnss_urban,0.07416135413988167,0.9497927508772802,0.9524469134456169,0.061047784642055056,1.328244524384329,1.6633761955186788,2.332778722032083,,,,
gnss_tunnel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
