component,rmse_m,p95_m,color_hex
balise,0.12105465728269887,0.20680431289222054,#1b9e77
map,0.024728816886680074,0.049804878499622264,#7570b3
odometry,0.7493153045107243,1.236393686176661,#d95f02
imu,0.25030839383833864,0.40724317369276,#e7298a
gnss_open,0.3860944151115801,0.6391924990959716,#66a61e
secure,0.7609682384924301,1.3654608351060864,#1f78b4
unsafe,0.4623077617654863,0.7636561913216134,#e31a1c
fused,0.4623077617654863,0.7636561913216134,#6a3d9a
gnss_urban,0.947938101081689,1.642149552939929,#000000
gnss_tunnel,0.0,0.0,#000000
